Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
Dec-23,B9126SCB,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,13,MR,1644000.0,0,1644000.0
Dec-23,A8985YX,HUB,AHI BANDUNG,AHI,MVB,NIAGA,14,MR,1776750.0,0,1776750.0
Dec-23,DD8233RV,RDC,AHI MAKASSAR,AHI,MVB,NIAGA,14,MR,1926750.0,0,1926750.0
Dec-23,A8915WX,HUB,HUB BOGOR TERASUTRA (AHI),AHI,MVB,NIAGA,13,MR,1893750.0,0,1893750.0
Dec-23,A8090VX,NDC,SIDOARJO AHI,AHI,MVB,NIAGA,13,MR,1893750.0,0,1893750.0
Dec-23,A8205VX,HUB,HUB AHMAD YANI BEKASI (AHI),AHI,MVB,NIAGA,13,MR,1893750.0,0,1893750.0
Dec-23,A8821XA,HUB,HUB BDG LP PASKAL (AHI),AHI,MVB,NIAGA,12,MR,1983750.0,0,1983750.0
Dec-23,A8304XY,HUB,HUB BDG LP PASKAL (AHI),AHI,MVB,NIAGA,11,MR,2035500.0,0,2035500.0
Dec-23,A8873ZX,HUB,HUB IBCC - BANDUNG (AHI),AHI,MVB,NIAGA,11,MR,2035500.0,0,2035500.0
Dec-23,H9628NA,HUB,HUB SEMARANG SILIWANGI (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9486SCE,HUB,HUB PURI MALL (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9643SCE,HUB,HUB IBCC - BANDUNG (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9708SCE,HUB,HUB ALAM SUTERA (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9321SCE,HUB,HUB CIBUBUR (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9304SCE,HUB,HUB CIBUBUR (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,B9320SCE,HUB,HUB ARTHA GADING (AHI),AHI,MVB,NIAGA,10,MR,2087250.0,0,2087250.0
Dec-23,A8477ZD,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,9,MR,2218500.0,0,2218500.0
Dec-23,AB8685NH,HUB,HUB YOGYA URIP SUMOHARJO (AHI,AHI,MVB,NIAGA,9,MR,2218500.0,0,2218500.0
Dec-23,A8025ZC,HUB,HUB LP BINTARO (AHI),AHI,MVB,NIAGA,9,MR,2218500.0,0,2218500.0
Dec-23,A8026ZC,HUB,HUB KOTA KASABLANKA (AHI),AHI,MVB,NIAGA,9,MR,2218500.0,0,2218500.0
Dec-23,A8077ZC,HUB,HUB DEPOK MARGONDA (AHI),AHI,MVB,NIAGA,9,MR,2218500.0,0,2218500.0
Dec-23,A8516ZW,NDC,KLS JABABEKA,KLS,CDE LC,NIAGA,11,MR,3574500.0,0,3574500.0
Jan-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),KLS,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Feb-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),KLS,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Apr-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),KLS,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
May-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),KLS,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Dec-23,A8325VX,HUB,HUB BDG LP PASKAL (AHI),AHI,CDE LC,NIAGA,13,MR,3505500.0,0,3505500.0
Dec-23,A8519XZ,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,16,MR,3408750.0,0,3408750.0
Jun-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Dec-23,A8854ZW,HUB,HUB BOGOR TERASUTRA (AHI),AHI,CDE LC,NIAGA,16,MR,3408750.0,0,3408750.0
Jul-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Dec-23,A8632XZ,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,16,MR,3408750.0,0,3408750.0
Aug-24,A8516ZW,NDC,HUB ARTHA GADING (AHI),AHI,CDE LC,NIAGA,11,MR,4432380.0,0,4432380.0
Dec-23,A8355ZY,HUB,HUB ALAM SUTERA (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8377ZY,RDC,AHI MAKASSAR,AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8274ZY,HUB,HUB PURI MALL (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8449ZY,HUB,HUB CIBUBUR (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8966ZY,HUB,HUB ARTHA GADING (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8962ZY,HUB,HUB PURI MALL (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8040ZV,HUB,HUB KOTA KASABLANKA (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Dec-23,A8030ZV,HUB,HUB GANDARIA (AHI),AHI,CDE LC,NIAGA,14,MR,3459000.0,0,3459000.0
Oct-24,B328YES,NDC,HCI JABABEKA,HCI,PASSENGER,PASSENGER,4,MR,6116000.0,0,6116000.0
Dec-23,N8560BH,HUB,HUB LP SAWOJAJAR (AHI) ( HUB,AHI,CDE LC,NIAGA,13,MR,3505500.0,0,3505500.0
Dec-23,DD8173RV,RDC,MAKASAR AHI,AHI,CDE LC,NIAGA,12,MR,3665250.0,0,3665250.0
Dec-23,BK8299MH,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,3665250.0,0,3665250.0
Dec-23,BK8172LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,3665250.0,0,3665250.0
Dec-23,BK8135LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,3665250.0,0,3665250.0
Dec-23,BK8146LM,RDC,TAMORA AHI,AHI,CDE LC,NIAGA,12,MR,3665250.0,0,3665250.0
Dec-23,A8463ZW,HUB,HUB LP BINTARO (AHI),AHI,CDE LC,NIAGA,11,MR,3574500.0,0,3574500.0
Dec-23,A8799XZ,HUB,HUB ARTHA GADING (AHI),AHI,CDE PICK UP,NIAGA,11,MR,3391500.0,0,3391500.0
Oct-24,B2419UBL,NDC,HCI JABABEKA,HCI,PASSENGER,PASSENGER,11,MR,2968000.0,0,2968000.0
Oct-24,A8634XZ,NDC,JABABEKA AHI,AHI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Oct-24,A8063VB,NDC,HCI JABABEKA,HCI,TRACTOR HEAD,NIAGA,3,MR,15997000.0,0,15997000.0
